[migrater] timestamp=1778169252.18, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999977 B/s, pending=124575744 bytes ([7.18%] 9641984/134217728 bytes copied)
[migrater] timestamp=1778169252.69, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000058 B/s, pending=124067840 bytes ([7.56%] 10149888/134217728 bytes copied)
[migrater] timestamp=1778169253.20, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000141 B/s, pending=123559936 bytes ([7.94%] 10657792/134217728 bytes copied)
[migrater] timestamp=1778169253.71, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999950 B/s, pending=123052032 bytes ([8.32%] 11165696/134217728 bytes copied)
[migrater] timestamp=1778169254.22, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999854 B/s, pending=122544128 bytes ([8.70%] 11673600/134217728 bytes copied)
[migrater] timestamp=1778169254.72, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999911 B/s, pending=122036224 bytes ([9.08%] 12181504/134217728 bytes copied)
[migrater] timestamp=1778169255.23, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999993 B/s, pending=121528320 bytes ([9.45%] 12689408/134217728 bytes copied)
[migrater] timestamp=1778169255.74, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000101 B/s, pending=121020416 bytes ([9.83%] 13197312/134217728 bytes copied)
[migrater] timestamp=1778169256.25, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999859 B/s, pending=120512512 bytes ([10.21%] 13705216/134217728 bytes copied)
[migrater] timestamp=1778169256.76, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000077 B/s, pending=120004608 bytes ([10.59%] 14213120/134217728 bytes copied)
[migrater] timestamp=1778169257.26, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000033 B/s, pending=119496704 bytes ([10.97%] 14721024/134217728 bytes copied)
[migrater] timestamp=1778169257.77, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000149 B/s, pending=118988800 bytes ([11.35%] 15228928/134217728 bytes copied)
[migrater] timestamp=1778169258.28, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999829 B/s, pending=118480896 bytes ([11.72%] 15736832/134217728 bytes copied)
[migrater] timestamp=1778169258.79, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999999 B/s, pending=117972992 bytes ([12.10%] 16244736/134217728 bytes copied)
[migrater] timestamp=1778169259.30, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000104 B/s, pending=117465088 bytes ([12.48%] 16752640/134217728 bytes copied)
[migrater] timestamp=1778169259.80, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999773 B/s, pending=116957184 bytes ([12.86%] 17260544/134217728 bytes copied)
[migrater] timestamp=1778169260.31, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000052 B/s, pending=116449280 bytes ([13.24%] 17768448/134217728 bytes copied)
